study_id,site_id,core_id,year,month,core_notes,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat
Drake_et_al_2024,PR_M,PR_M9,2012,6,OMWM,42.75021,-70.80011,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,PR_M,PR_M10,2012,6,OMWM,42.75021,-70.80011,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_U,W_U1,2012,6,non-OMWM,40.76672,-72.88339,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_U,W_U2,2012,6,non-OMWM,40.76672,-72.88339,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_U,W_U3,2012,6,non-OMWM,40.76672,-72.88339,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_U,W_U4,2012,6,non-OMWM,40.76672,-72.88339,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_U,W_U5,2012,6,non-OMWM,40.76672,-72.88339,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_U,W_U6,2012,6,non-OMWM,40.76672,-72.88339,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_U,W_U7,2012,6,non-OMWM,40.76672,-72.88339,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_U,W_U8,2012,6,non-OMWM,40.76672,-72.88339,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_U,W_U9,2012,6,non-OMWM,40.76672,-72.88339,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_U,W_U10,2012,6,non-OMWM,40.76672,-72.88339,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_M,W_M1,2012,6,OMWM,40.76672,-72.88342,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_M,W_M2,2012,6,OMWM,40.76672,-72.88342,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_M,W_M3,2012,6,OMWM,40.76672,-72.88342,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_M,W_M4,2012,6,OMWM,40.76672,-72.88342,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_M,W_M5,2012,6,OMWM,40.76672,-72.88342,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_M,W_M6,2012,6,OMWM,40.76672,-72.88342,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_M,W_M7,2012,6,OMWM,40.76672,-72.88342,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_M,W_M8,2012,6,OMWM,40.76672,-72.88342,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_M,W_M9,2012,6,OMWM,40.76672,-72.88342,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_M,W_M10,2012,6,OMWM,40.76672,-72.88342,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_U,F_U1,2012,6,non-OMWM,39.53337,-74.41684,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_U,F_U2,2012,6,non-OMWM,39.53337,-74.41684,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_U,F_U3,2012,6,non-OMWM,39.53337,-74.41684,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_U,F_U4,2012,6,non-OMWM,39.53337,-74.41684,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_U,F_U5,2012,6,non-OMWM,39.53337,-74.41684,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_U,F_U6,2012,6,non-OMWM,39.53337,-74.41684,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_U,F_U7,2012,6,non-OMWM,39.53337,-74.41684,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_U,F_U8,2012,6,non-OMWM,39.53337,-74.41684,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_U,F_U9,2012,6,non-OMWM,39.53337,-74.41684,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_U,F_U10,2012,6,non-OMWM,39.53337,-74.41684,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_M,F_M1,2012,6,OMWM,39.50012,-74.41678,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_M,F_M2,2012,6,OMWM,39.50012,-74.41678,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_M,F_M3,2012,6,OMWM,39.50012,-74.41678,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_M,F_M4,2012,6,OMWM,39.50012,-74.41678,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_M,F_M5,2012,6,OMWM,39.50012,-74.41678,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_M,F_M6,2012,6,OMWM,39.50012,-74.41678,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_M,F_M7,2012,6,OMWM,39.50012,-74.41678,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_M,F_M8,2012,6,OMWM,39.50012,-74.41678,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_M,F_M9,2012,6,OMWM,39.50012,-74.41678,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_M,F_M10,2012,6,OMWM,39.50012,-74.41678,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_U,RC_U_A,2012,6,non-OMWM,43.31667,-70.56675,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,RC_M,RC_M_A,2012,6,OMWM,43.25026,-70.5835,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,PR_U,PR_U_A,2012,6,non-OMWM,42.76693,-70.80017,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,PR_M,PR_M_A,2012,6,OMWM,42.75021,-70.80011,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_U,W_U_A,2012,6,non-OMWM,40.76672,-72.88339,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,W_M,W_M_A,2012,6,OMWM,40.76672,-72.88342,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_U,F_U_A,2012,6,non-OMWM,39.53337,-74.41684,handheld,estuarine,measurement,emergent,field observation,marsh
Drake_et_al_2024,F_M,F_M_A,2012,6,OMWM,39.50012,-74.41678,handheld,estuarine,measurement,emergent,field observation,marsh
