core_id.x,core_id.y
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_2
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_2
Fourqurean_unpublished_1,Fourqurean_unpublished_3
Fourqurean_unpublished_2,Fourqurean_unpublished_3
Fourqurean_unpublished_3,Fourqurean_unpublished_3
Fourqurean_unpublished_4,Fourqurean_unpublished_3
Fourqurean_unpublished_5,Fourqurean_unpublished_3
Fourqurean_unpublished_6,Fourqurean_unpublished_3
Fourqurean_unpublished_7,Fourqurean_unpublished_3
Fourqurean_unpublished_8,Fourqurean_unpublished_3
Orem_et_al_1999_1,Fourqurean_unpublished_3
Orem_et_al_1999_2,Fourqurean_unpublished_3
Orem_et_al_1999_3,Fourqurean_unpublished_3
Orem_et_al_1999_4,Fourqurean_unpublished_3
Orem_et_al_1999_5,Fourqurean_unpublished_3
Orem_et_al_1999_6,Fourqurean_unpublished_3
Orem_et_al_1999_7,Fourqurean_unpublished_3
Orem_et_al_1999_8,Fourqurean_unpublished_3
Rosenfeld_1979_1,Fourqurean_unpublished_3
Yarbro_and_carlson_2008_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_1,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_2,Fourqurean_unpublished_3
Kamp-Nielsen_et_al_2002_3,Fourqurean_unpublished_3
